Frame,Tracking_ID,Position_X,Position_Y,Volume,Radius,Area,Length,Width,Orientation,Dry_Mass,Displacement,Speed,Instantaneous_Velocity_X,Instantaneous_Velocity_Y,Track_Length,mCherry_Integrated_Intensity,mCherry_Mean_Intensity,mCherry_SD_Intensity,mCherry_Maximum_Intensity,mCherry_Skewness
22,104,368.1882935,573.4901733,3072.439453,25.79244614,2089.945557,62.17477798,58.35834503,-18.85315895,768.1091309,4.920329571,0.001227789908,0.0006504651974,0.001041327603,20.57398605,3451701.5,734.4040527,1068.182373,5020.353516,2.095829248
23,104,368.868988,572.770874,2991.336914,24.941679,1954.344971,58.94712067,53.86433792,59.53445435,747.8334961,5.422245502,0.001100357156,0.0007563272957,-0.0007992214523,21.56430626,3496582,794.6758423,1116.897339,5170.071777,2.033750534
24,104,369.1925354,572.7160645,3032.764893,25.51905823,2045.875366,62.5904541,56.86693954,-17.9691391,758.1905518,5.421368122,0.0003646188416,0.0003594970622,-6.09E-05,21.89246368,3535768,770.1515503,1111.049927,5311.85498,2.060146809
25,104,369.4597168,572.8323975,3100.278076,25.64560127,2066.215332,59.06314468,56.08094025,67.24902344,775.0687866,5.274684906,0.0003237878846,0.0002968682093,0.0001292589004,22.18387222,3597387,773.2996826,1110.377808,4980.181641,2.086041689
26,104,369.74823,572.348938,3109.070313,25.84469032,2098.420654,60.93231201,56.40356064,71.56504822,777.2668457,5.738845348,0.0006255594199,0.0003205701942,-0.0005371771986,22.74687576,3511050.75,740.8834839,1106.501343,5207.862305,2.151053429
27,104,369.1519775,572.5477295,3091.277344,25.45555115,2035.7052,67.70010376,52.07700348,36.86989975,772.8185425,5.593744278,0.0006983534549,-0.0006625027163,0.0002208794467,23.37539482,3665131.75,800.4212646,1140.647461,5091.681641,2.09387207
28,104,369.5222778,572.8666382,3017.839111,25.35999298,2020.450195,61.19047165,55.98277283,90,754.4590454,5.235108852,0.0005429970333,0.0004114447802,0.0003543429775,23.86409187,3649401,804.0103149,1146.185913,5284.574219,2.063756227
29,104,370.0036316,572.9817505,3147.005371,25.71912956,2078.080566,62.9017067,57.4131546,86.82016754,786.7505493,5.102757931,0.0005499183899,0.0005348374834,0.0001279025601,24.35901833,3634590.25,777.1201782,1129.299072,4951.330078,2.098457575
30,104,369.2382813,572.1576538,3186.585205,25.85512543,2100.115479,65.90174866,58.15871811,82.40535736,796.6455078,5.969180107,0.001249640132,-0.0008503892459,-0.0009156629676,25.48369408,3617177,768.9592896,1119.334106,4849.42627,2.080902576
31,104,370.8719177,573.3554077,3139.036377,25.8133564,2093.335693,60.29289627,57.88118744,85.91438293,784.7583618,4.817812443,0.00225075637,0.001815151656,0.001330837724,27.50937462,3690159,783.9733276,1129.126465,4985.418945,2.038617849
32,104,370.7790222,572.8742676,3068.872803,25.55075455,2050.960449,70.58770752,49.48293304,31.26373291,767.2174683,5.275475979,0.0005444732378,-0.0001032172295,-0.0005346001708,27.99940109,3693091.75,803.192627,1139.755737,5178.553711,2.016048908
33,104,369.8468933,572.5946045,3231.427002,26.07331657,2135.710693,65.85596466,58.12377548,83.516922,807.855957,5.490595818,0.001081309048,-0.001035698806,-0.0003107367666,28.97257996,3719857.25,774.3243408,1138.565552,5393.332031,2.094270706
34,104,369.6947937,571.9160767,3275.169922,26.72729492,2244.191406,66.52713013,57.76581573,61.5043602,818.791748,6.173437119,0.0007726292242,-0.0001689995697,-0.0007539198268,29.66794586,3797335.25,752.2443237,1130.776611,5292.591797,2.172349691
35,104,369.1708984,573.7966919,3253.293945,26.04225922,2130.625732,62.84326553,53.13390732,86.63353729,813.3226929,4.357783318,0.002169138053,-0.0005821058294,0.002089572372,31.62017059,3784327.75,790.211731,1144.609863,5250.026367,2.035971403
36,104,368.0982056,572.4310303,3182.042969,25.582407,2056.04541,61.47661591,47.24925995,79.82448578,795.5099487,5.948824883,0.001929530641,-0.00119188102,-0.001517401775,33.35674667,3816681.75,824.1607056,1134.957275,5016.244141,1.934406161
37,104,368.4531555,571.3486938,3274.657471,25.55075455,2050.960449,64.52360535,50.05600357,74.62374878,818.6635742,6.899895191,0.00126561441,0.0003943888296,-0.001202596002,34.49580002,3819537.25,826.5615845,1133.052734,5309.819824,1.910245299
38,104,369.7492676,572.2709351,3659.528564,27.83480835,2434.032227,68.83637238,62.20534515,14.03623962,914.8812866,5.816764832,0.001767482492,0.00144012447,0.001024712459,36.08653641,3972456.5,728.4898071,1098.711548,5111.086914,2.150625706
39,104,368.7870789,571.0237427,3490.919189,26.67677879,2235.716309,67.96286011,56.61523438,77.2756424,872.7290039,7.155648232,0.00175023661,-0.001069098595,-0.001385769341,37.66174698,3928756.25,783.4013672,1114.313843,5053.165039,2.012772083
40,104,369.8136597,572.5687866,3484.827393,26.53482819,2211.986328,66.89606476,55.66161728,78.69006348,871.2060547,5.517131805,0.002061112318,0.001140645356,0.001716715517,39.51675034,3939946.25,792.2687988,1140.185181,5246.538086,2.0186553
41,104,369.5788574,571.9247437,3495.570801,26.51448631,2208.596191,68.53995514,51.82484436,79.38034821,873.8918457,6.170668125,0.0007608319866,-0.0002606018388,-0.0007148090517,40.20225906,3929143.75,791.0515747,1171.37146,5217.516113,2.065598726
42,104,368.854126,570.7160034,3606.444824,27.43456841,2364.536865,78.65596771,52.67266464,77.47119141,901.6104126,7.449302673,0.001567694708,-0.0008061528788,-0.001344538643,41.61161423,4013036,755.7518311,1144.745728,5190.363281,2.130661011
43,104,368.3790894,572.782959,3619.380859,27.22728729,2328.94165,72.40949249,52.72143555,80.27242279,904.8442993,5.52918005,0.002356489655,-0.0005278184544,0.002296617255,43.73245621,4002409,764.8394165,1147.791626,5237.723145,2.120840311
44,104,367.1283264,570.8128662,3548.035645,27.3853569,2356.061768,83.84545898,50.96629715,78.27488708,887.0079956,7.799721241,0.002592885168,-0.001389736542,-0.002188991988,46.06605148,4029812.5,761.3485718,1151.77417,5131.079102,2.131605625
45,104,367.1173706,571.9371338,3487.016602,26.76763916,2250.971436,79.7017746,50.3055191,79.50852203,871.7532959,6.768431664,0.001249245484,-1.22E-05,0.001249186229,47.19037247,4063446.75,804.0064087,1196.131104,5421.496094,2.07982111
46,104,367.7878113,570.7905273,3519.238281,26.36142921,2183.170898,67.04614258,52.97099686,35.53768158,879.8087158,7.607495308,0.001475811936,0.0007449340774,-0.00127400714,48.51860428,4112224,837.3510742,1219.914551,5661.137207,2.012488365
47,104,367.3991699,570.7502441,3593.510742,27.3163147,2344.197021,68.26554108,57.45942307,28.61045837,898.3768921,7.764989376,0.0004341372114,-0.0004318237188,-4.48E-05,48.90932846,4084577.25,775.5039063,1179.28186,5381.5,2.126343966
48,104,367.2854004,568.2194824,3651.124512,27.64029312,2400.13208,73.66252136,53.3471756,77.61924744,912.7802124,10.2183342,0.002814797452,-0.0001264105958,-0.002811957384,51.44264603,4189491.5,774.1121216,1182.872925,5515.385742,2.153132677
49,104,366.6091919,569.4088745,3595.245605,26.20747757,2157.74585,65.38858032,51.98463058,29.35775375,898.8104858,9.29645443,0.001520197955,-0.000751342799,0.001321546733,52.81082535,4122895.75,849.90625,1245.69873,5382.123535,2.034928322
50,104,366.4909973,569.5855103,3635.989258,27.02839851,2295.041504,70.42137909,57.31889343,46.12330246,908.996521,9.175743103,0.0002361474326,-0.0001313273096,0.0001962619426,53.02335739,4093723.5,796.7539673,1213.234497,5267.6875,2.114830256
51,104,366.2224121,568.2478027,3731.249023,27.64029312,2400.13208,75.12908936,52.72571945,81.02737427,932.8112793,10.51910877,0.001516004908,-0.000298428,-0.001486341702,54.38776016,4242677,787.7236328,1207.650635,5390.160156,2.1539433
52,104,365.9475403,568.444397,3832.69043,28.27711678,2512.002686,72.30735016,55.76442719,72.64597321,958.1716919,10.43779659,0.0003754895006,-0.0003054131521,0.0002184380428,54.72570038,4298036.5,759.2345581,1188.078735,5440.410645,2.233104229
53,104,366.0431519,567.8271484,3861.909912,27.40505219,2359.451904,68.87018585,54.95240402,72.4744339,965.4766235,10.9760046,0.0006940108142,0.0001062350784,-0.0006858317065,55.35031128,4332830,815.0540771,886.1234131,4393.981934,1.778211355
54,104,360.1819763,564.1448975,3302.121094,16.50656509,855.9793091,37.75582504,26.03849792,90,825.52948,17.02125359,0.007690972183,-0.006512417458,-0.004091389943,62.27218628,3900032.5,2063.51123,1383.804443,5050.788086,0.01659598015
55,433,361.9828491,558.0996704,1779.434937,11.84397984,440.70224,28.03584671,18.11546898,6.340187073,444.8582764,0,NaN,NaN,NaN,0,1984096.375,2126.575195,1686.000244,6767.410156,0.1922687292
55,433,355.5476379,545.7960205,2103.040771,17.38221169,949.2047729,39.21224976,31.45925903,-13.24052048,525.7597046,13.88494682,0.01542771887,-0.007150234655,-0.01367072202,13.88494682,2407266.25,1159.010254,987.9934082,4126.129883,1.081790686
57,433,356.4633789,543.9655762,2160.749023,19.55843544,1201.760986,47.16133118,35.51655579,26.56504822,540.1867065,15.17356777,0.002274145605,0.001017489936,-0.002033827128,15.93167782,2436184.5,914.140686,1023.737427,4448.609375,1.656843066
58,433,355.7173767,543.9899292,2075.461914,19.16834259,1154.300903,42.536026,36.20087433,10.00798035,518.8649292,15.43829441,0.0008293328574,-0.0008288913523,2.71E-05,16.6780777,2442870.25,954.6186523,1207.913818,5745.765625,1.827098966
59,433,356.5284729,544.8812256,2092.67334,19.12607574,1149.21582,41.90774536,39.18854141,10.61965179,523.1677856,14.29956341,0.001339009381,0.0009012179798,0.0009903293103,17.88318634,2440910.5,962.5037842,1272.746338,5654.334961,1.944217205
60,433,354.0118103,543.4217529,2112.467529,18.46586037,1071.245483,46.36926651,33.25891113,32.00538254,528.116333,16.70265579,0.003232483752,-0.002796291839,-0.001621636329,20.79242134,2384038,1009.329468,1338.737427,5722.87793,1.866581321
61,433,353.6851196,543.9226685,2199.039063,19.4477787,1188.20105,41.65855026,37.25024033,16.38954163,549.7592163,16.42679787,0.0006644808454,-0.0003629896382,0.0005565728061,21.39045334,2477157.75,938.3169556,1318.332031,6011.658203,2.128530741
62,433,353.4802551,544.121582,2100.542236,18.95606232,1128.875732,41.51679993,37.28039169,-77.47119141,525.1350708,16.36096191,0.0003172724682,-0.000227627228,0.0002210150851,21.67599869,2491570.25,1000.631775,1334.980469,6292.254883,1.952650309
63,433,351.8404846,543.1346436,2203.736572,20.42211723,1310.241699,48.79180145,42.16347885,-81.86989594,550.9335327,18.0781517,0.002126521198,-0.001821967191,-0.001096598338,23.58986855,2505439.75,867.8355713,1119.399292,5058.484863,1.897803783
64,433,351.6510925,542.8543701,2190.838867,20.43532181,1311.936646,46.04152679,41.34512711,-75.06858063,547.7091064,18.41641617,0.0003758489329,-0.0002104356536,-0.000311414944,23.92813301,2524288.75,864.77948,1125.913574,5633.269531,1.920149446
65,433,351.4718628,542.4738159,2378.713379,22.9240036,1650.938354,58.19112015,46.0148735,43.53120041,594.6777344,18.83210373,0.0004668679903,-0.0001989231241,-0.0004223686992,24.34877968,2608489.25,710.1784058,990.1580811,4717.237793,2.104528666
66,433,351.4593811,540.9962769,2320.953857,23.34380722,1711.958618,54.49544525,49.61525726,35.21759415,580.237854,20.08156967,0.00164359482,-1.39E-05,-0.001643536263,25.82637215,2651929.25,698.0606689,959.0838623,4506.611328,2.072283506
67,433,350.4779358,540.8757324,2261.186768,22.42430496,1579.747925,46.83451462,46.50352859,-53.61564636,565.2961426,20.71296883,0.00109868939,-0.001090494799,-0.0001339382579,26.81519318,2653890.5,751.1729126,986.8242188,4571.517578,1.935453653
68,433,351.0118408,541.1900024,2457.710449,23.61953163,1752.638916,51.55622482,48.69199371,36.86989975,614.427002,20.15688133,0.0006883691531,0.0005932278,0.000349188922,27.43472481,2728365.25,695.1257935,978.9738159,4421.276855,2.117477655
69,433,351.3905334,541.7179565,2403.060547,23.25117302,1698.39856,51.97564697,47.57255554,36.02737045,600.7645874,19.50788879,0.0007219176041,0.0004207695893,0.0005866156425,28.08444977,2770071.25,730.1193237,1009.775208,4585.750977,2.101306438
70,433,351.7972107,541.5128784,2603.895996,24.10565186,1825.524292,52.70543289,50.6926384,23.62937927,650.9733276,19.46455574,0.0005060661933,0.0004518635978,-0.0002278645843,28.53990936,2849816.5,696.7775879,1034.380737,4711.706055,2.234997988
71,433,350.8816833,541.1177368,2379.826416,23.13485909,1681.448486,48.90803528,47.16131973,-63.43495178,594.9560547,20.28846931,0.001107955119,-0.001017252565,-0.0004390462127,29.53706932,2789734,740.9631958,1054.352051,4576.124023,2.130388498
72,433,352.5395508,540.6372681,2476.070801,23.83555031,1784.844116,51.64845657,46.82914734,-77.90524292,619.0170898,19.8522377,0.001917873858,0.001842074911,-0.0005338541814,31.26315689,2814176.25,704.0716553,991.793396,4526.829102,2.087511539
73,433,352.2449036,540.8164063,2410.194336,23.01795578,1664.498291,52.25005341,46.01496506,-73.30075836,602.5479126,19.83781242,0.0003831440408,-0.0003273857874,0.0001990424207,31.60798645,2717038.5,730.7780762,1038.970825,4755.894043,2.041286469
74,433,352.7157898,539.7553101,2461.128418,23.71072578,1766.198975,53.4318161,49.80295563,-54.78240967,615.2814941,20.55222511,0.001289874665,0.0005232068943,-0.001178995823,32.76887131,2914945.25,735.9102173,964.3354492,4285.873047,1.973932147
75,433,351.1618347,540.0356445,2448.556396,23.61953163,1752.638916,53.99550247,46.7329483,-75.96376038,612.1384888,21.05714607,0.001754487632,-0.001726616756,0.0003114827559,34.34791183,2737859.5,698.7896118,972.4788208,4219.783691,2.051744223
76,433,352.4055786,538.4649048,2392.02417,23.47058296,1730.60376,53.05319977,45.83754349,-66.50143433,598.0054321,21.84601021,0.002228617901,0.001383474912,-0.001747207716,36.35144043,2892935.5,746.7575684,1039.648682,4458.40918,1.975991845
77,433,351.7891846,537.8995361,2423.231934,23.42456245,1723.823608,54.26039886,46.47119141,-59.53445435,605.807373,22.62644958,0.0009283140535,-0.0006841221475,-0.000627490168,37.18785095,3001987.25,778.3219604,1052.076172,4494.983887,1.935586929
78,433,350.8055115,540.0092773,2523.303467,24.3173542,1857.729492,52.69367599,51.80056,-59.03625107,630.8251953,21.26488113,0.002586436691,-0.001092970138,0.002344156848,39.51564407,3034221.75,728.680603,1023.346802,4373.223145,2.071313143
79,433,351.8346558,539.5593872,2542.870361,24.42803764,1874.679443,59.04371643,46.08411789,87.79740143,635.71698,21.13593864,0.001247980632,0.00114349369,-0.0004998779041,40.63882446,3097615.75,741.2341919,1031.942627,4446.744141,2.045107603
80,433,350.3424988,538.3206787,2380.302002,23.41304207,1722.128662,51.23698807,45.99684143,-63.43495178,595.0748901,22.95008278,0.002154791262,-0.001657952205,-0.001376342727,42.57813644,3020448.5,782.7034302,1067.316895,4708.516602,1.917837262
81,433,350.703064,539.6304932,2576.706787,24.57118034,1896.7146,52.02346039,48.22903824,-57.52880478,644.1760864,21.64125824,0.001509484835,0.0004006279923,0.001455349382,43.93667603,3151532.5,738.4091797,1044.461548,4679.463379,2.079718351
82,433,349.8786316,539.8024902,2511.213867,24.08325768,1822.134277,52.11355209,48.30407715,-69.44395447,627.8028564,21.93852425,0.0009357585805,-0.0009160359623,0.000191107858,44.77885818,3105881,759.3861694,1037.508057,4957.285156,1.99325037
83,433,350.7355957,539.6876221,2444.014404,24.28404808,1852.644287,58.9416275,44.24658966,-82.87498474,611.0030518,21.57554626,0.0009606981766,0.0009521823376,-0.0001276312978,45.64348602,3119725.25,750.2936401,1049.281738,4619.264648,2.068111181
84,433,350.0732727,537.6825562,2547.231201,24.89837646,1947.564819,57.28469849,46.86929703,90,636.8071899,23.63676262,0.002346250229,-0.0007359144511,-0.002227850957,47.75511169,3166456,725.4191284,1043.643066,4665.294922,2.128130436
