"","Frame","Tracking.ID","Area","Position.X","Position.Y","Radius","Dry.Mass","Volume","Speed","Displacement","Track.Length","Integrated.Intensity","Mean.Intensity","Standard.Deviation.Intensity","Maximum.Intensity","Minimum.Intensity","Skewness"
"1",1,1,1304.86413574219,802.721496582031,38.6965866088867,20.3801651000977,421.126312255859,1684.50695800781,NA,0,0,254530.203125,90.741455078125,158.650863647461,4000.72998046875,0,10.6861543655396
"2",2,1,1223.52185058594,795.706848144531,42.0677108764648,19.7347183227539,408.572570800781,1634.29187011719,0.00432369904592633,7.78265857696533,7.78265857696533,237603.0625,90.0353012084961,194.42366027832,4604.521484375,0,11.9397706985474
"3",3,1,1330.28344726563,790.043395996094,50.3582458496094,20.5777149200439,440.954956054688,1763.82165527344,0.00557484850287437,17.22580909729,17.8229598999023,270084,93.6815032958984,210.543365478516,4859.69140625,0,11.1221103668213
"4",4,1,1296.39086914063,789.832763671875,49.8257713317871,20.3138866424561,424.771118164063,1699.08618164063,0.000318122911266983,17.0287456512451,18.3955821990967,270200.6875,95.5786361694336,209.034530639648,4813.96337890625,0,11.5806283950806
"5",5,1,1276.05541992188,794.514404296875,44.1706695556641,20.1539344787598,426.480865478516,1705.92517089844,0.00407862290740013,9.86518859863281,25.7371025085449,268437.59375,96.4908752441406,209.104354858398,4815.90234375,0,11.4286956787109
"6",6,1,1259.10900878906,797.992919921875,39.0476913452148,20.0196628570557,417.369506835938,1669.4794921875,0.00344401109032333,4.74159383773804,31.9294357299805,264246.4375,96.6165542602539,205.067855834961,4983.802734375,0,11.976788520813
"7",7,1,1243.857421875,800.121032714844,37.7135314941406,19.8980445861816,407.079620361328,1628.32019042969,0.00139541202224791,2.78007364273071,34.4411773681641,265438.875,98.7862014770508,208.863784790039,4982.4609375,0,11.6192016601563
"8",9,1,1186.23999023438,807.619140625,28.4979953765869,19.4317245483398,392.442596435547,1569.77185058594,0.00330015574581921,11.3136281967163,46.3217391967773,252897,99.2921676635742,203.009857177734,5120.89404296875,0,12.8194980621338
"9",10,1,1067.61608886719,809.075317382813,27.7851142883301,18.4345531463623,383.053497314453,1532.21557617188,0.000900728453416377,12.6266098022461,47.9430503845215,231419.65625,100.268379211426,217.806732177734,5245.74462890625,0,12.5392198562622
"10",11,1,1008.30407714844,810.844604492188,26.5415897369385,17.9151649475098,367.120727539063,1468.48449707031,0.00120209832675755,14.6194677352905,50.1056251525879,227260.046875,104.824691772461,217.404769897461,5063.67822265625,0,12.525032043457
"11",15,1,794.780822753906,816.550903320313,14.5267601013184,15.9055528640747,336.146728515625,1344.58825683594,0.00184711173642427,27.8465976715088,63.4066772460938,184995.03125,108.692832946777,195.461868286133,3649.65185546875,0,10.2530813217163
"12",16,1,937.129638671875,809.595581054688,20.9292106628418,17.2712955474854,366.792205810547,1467.17028808594,0.00524900527670979,19.0507926940918,72.8601303100586,217343.875,106.855354309082,207.476226806641,3831.474609375,0,10.4751996994019
"13",17,1,1042.19665527344,805.751403808594,25.713695526123,18.2137718200684,390.012420654297,1560.05126953125,0.00341162155382335,13.3317594528198,78.9976425170898,224244.1875,98.6555023193359,194.517028808594,3739.67236328125,0,10.3610792160034
"14",18,1,1123.53869628906,804.361450195313,29.081262588501,18.9111995697021,390.478393554688,1561.9150390625,0.00202396744862199,9.75417327880859,82.6407852172852,254144.3125,105.981704711914,213.728500366211,3968.6123046875,0,9.8894567489624
"15",19,1,1065.92138671875,810.535034179688,23.2992420196533,18.4199161529541,372.787841796875,1491.15295410156,0.00469912309199572,17.266429901123,91.0992050170898,224368.96875,98.8843994140625,197.763900756836,3741.642578125,0,10.9635467529297
"16",20,1,947.29736328125,811.768737792969,18.0456657409668,17.3647384643555,319.065460205078,1276.26318359375,0.00299804913811386,22.5457992553711,96.4956893920898,205838.09375,103.540145874023,206.173156738281,3881.59375,0,10.4701204299927
"17",21,1,1015.08251953125,811.173522949219,16.6588802337646,17.9752826690674,375.046691894531,1500.18823242188,0.000838402134831995,23.6029071807861,98.0048141479492,230106.0625,105.698806762695,207.909164428711,4014.07763671875,0,10.8358068466187
"18",22,1,1055.75366210938,805.766723632813,17.9732685089111,18.3318538665771,386.976928710938,1547.90930175781,0.00309126079082489,20.9458656311035,103.56908416748,231557.453125,101.160820007324,198.941177368164,4227.25390625,0,11.5480842590332
"19",23,1,1204.88098144531,804.07421875,18.1776351928711,19.5838088989258,429.662384033203,1718.6513671875,0.000947636843193322,20.5634918212891,105.273887634277,256081.03125,97.5175476074219,218.809036254883,5723.583984375,0,13.4657726287842
"20",24,1,891.374694824219,797.647399902344,17.4679374694824,16.8443870544434,332.305206298828,1329.22216796875,0.00359016400761902,21.8266353607178,111.739768981934,209543.71875,107.845268249512,226.364791870117,6078.796875,0,15.4211387634277
"21",25,1,887.985412597656,798.741394042969,18.0058555603027,16.8123340606689,342.691253662109,1370.76647949219,0.000677271920721978,21.0700626373291,112.958862304688,196886.984375,102.385513305664,204.816040039063,5938.31494140625,0,16.2613010406494
"22",26,1,1037.11279296875,803.759704589844,15.2306528091431,18.1692943572998,384.273712158203,1537.09643554688,0.00318586733192205,23.4888896942139,118.693420410156,223467.15625,101.391624450684,195.152938842773,5990.00830078125,0,16.219934463501
"23",27,1,867.649841308594,799.733764648438,15.3654289245605,16.6187114715576,320.212249755859,1280.85009765625,0.00223788619041443,23.5216808319092,122.721618652344,213879.828125,114.865707397461,213.45524597168,5777.5986328125,0,15.1684045791626
"24",28,1,910.015625,804.006530761719,9.3654899597168,17.0196056365967,345.892547607422,1383.57165527344,0.00408759899437428,29.3592319488525,130.087463378906,212739.40625,108.264297485352,225.745666503906,5766.619140625,0,14.2771883010864
"25",29,1,742.247314453125,805.148681640625,8.06083202362061,15.370903968811,315.977661132813,1263.91198730469,0.000964386446867138,30.7317543029785,131.821441650391,175449.234375,112.539367675781,228.602081298828,5811.22998046875,0,14.6757755279541
"26",1,2,1186.23999023438,191.1083984375,64.3675308227539,19.4317245483398,331.598358154297,1326.39465332031,NA,0,0,214359.609375,83.9637756347656,144.931198120117,2451.8701171875,0,7.98996210098267
"27",2,2,1001.52551269531,185.56120300293,64.2408294677734,17.8548450469971,299.673400878906,1198.69482421875,0.00308257900178432,5.5486421585083,5.5486421585083,212251.53125,98.7216339111328,184.471282958984,2682.2001953125,0,7.06256055831909
"28",3,2,701.576293945313,180.92936706543,67.1049118041992,14.9438505172729,275.645874023438,1102.58459472656,0.00302377133630216,10.5406799316406,10.9944543838501,189298.140625,125.280197143555,203.512237548828,2673.91015625,0,6.40616178512573
"29",4,2,886.290771484375,182.155883789063,64.5290908813477,16.7962818145752,286.473846435547,1145.89672851563,0.00158495979849249,8.95397186279297,13.8473825454712,221215.015625,115.758941650391,246.182678222656,5823.75,0,10.6767511367798
"30",5,2,816.81103515625,188.601776123047,59.6067237854004,16.1244850158691,289.841369628906,1159.36657714844,0.00450579961761832,5.38037538528442,21.957820892334,212514.234375,120.404571533203,243.548980712891,5824.056640625,0,10.6955814361572
"31",6,2,947.29736328125,190.994842529297,57.9033699035645,17.3647384643555,320.643493652344,1282.57531738281,0.00163369113579392,6.46515846252441,24.8951988220215,223331.5625,108.995376586914,230.305221557617,5902.60791015625,0,11.5057287216187
"32",7,2,881.206909179688,198.088577270508,54.1185874938965,16.7480411529541,299.141387939453,1196.56677246094,0.00446680653840303,12.4001502990723,32.9354515075684,219998.046875,115.666725158691,245.181991577148,6383.75439453125,0,12.0430812835693
"33",8,2,994.747009277344,204.078338623047,48.7758445739746,17.794319152832,324.21728515625,1296.87060546875,0.00445907795801759,20.28102684021,40.9617919921875,238536.28125,110.689659118652,225.860275268555,5994.533203125,0,11.6874141693115
"34",9,2,1037.11279296875,210.752197265625,45.2189445495605,18.1692943572998,330.728942871094,1322.91711425781,0.00420140800997615,27.4325942993164,48.5243263244629,258558.4375,115.376396179199,219.418212890625,6144.77490234375,0,12.1074495315552
"35",10,2,962.549011230469,214.317108154297,43.9261741638184,17.5039672851563,326.685699462891,1306.744140625,0.00210670917294919,30.927225112915,52.3164024353027,226967.96875,109.224311828613,186.155029296875,2944.49584960938,0,6.65161323547363
"36",11,2,989.663146972656,210.538497924805,46.2327651977539,17.7487907409668,323.363952636719,1293.45715332031,0.0024608070962131,26.5781574249268,56.7433929443359,234170.453125,109.939163208008,181.503784179688,2945.07348632813,0,6.13079500198364
"37",12,2,899.847839355469,206.924224853516,46.3134384155273,16.9242553710938,306.025390625,1224.10290527344,0.00200731446966529,24.0018882751465,60.3585662841797,227695.671875,117.429252624512,220.759826660156,6030.8828125,0,12.3425168991089
